entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
SUB-TOTAL,SUB-TOTAL | SUCURSALES DIRECTAS EXTRANJ,TRUE,normalizacion_automatica,12909,36,2011-01,2013-12,"bancos,financieras"
Sub - Total,SUB-TOTAL | SUCURSALES DIRECTAS EXTRANJERAS,TRUE,normalizacion_automatica,3494,40,2012-09,2015-12,bancos
SUCURSALES DIRECTAS EXTRANJ.,SUCURSALES DIRECTAS EXTRANJ,TRUE,normalizacion_automatica,540,36,2011-01,2013-12,bancos
Sucursales Directas Extranjeras,SUCURSALES DIRECTAS EXTRANJERAS,TRUE,normalizacion_automatica,12942,27,2013-09,2015-12,bancos
Total - Banco Privados,TOTAL BANCO PRIVADOS,TRUE,normalizacion_automatica,3874,40,2012-09,2015-12,bancos
TOTAL BANCOS,TOTAL BANCOS,TRUE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
TOTAL BANCOS PRIVADOS,TOTAL BANCOS PRIVADOS,TRUE,normalizacion_automatica,11232,36,2011-01,2013-12,"bancos,financieras"
Total Bancos Privados,TOTAL BANCOS PRIVADOS,TRUE,normalizacion_automatica,13095,27,2013-09,2015-12,bancos
Total Empresas Financieras,TOTAL EMPRESAS FINANCIERAS,TRUE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
TOTAL FINANCIERAS,TOTAL FINANCIERAS,TRUE,normalizacion_automatica,357,13,2011-11,2012-11,financieras
Total Financieras,TOTAL FINANCIERAS,TRUE,normalizacion_automatica,192,19,2012-06,2013-12,financieras
TOTAL GENERAL,TOTAL GENERAL,TRUE,normalizacion_automatica,2368,36,2011-01,2013-12,casas_cambio
Total Sistema,TOTAL SISTEMA,TRUE,normalizacion_automatica,11181,40,2012-09,2015-12,"bancos,casas_cambio,financieras"
TOTAL SISTEMA FINANCIERAS,TOTAL SISTEMA FINANCIERAS,TRUE,normalizacion_automatica,11699,36,2011-01,2013-12,financieras
"Total Sistema
 Financieras",TOTAL SISTEMA FINANCIERAS,TRUE,normalizacion_automatica,32,1,2015-05,2015-05,financieras
"Total Sistema 
Financieras",TOTAL SISTEMA FINANCIERAS,TRUE,normalizacion_automatica,160,5,2015-04,2015-12,financieras
Total Sistema Financieras,TOTAL SISTEMA FINANCIERAS,TRUE,normalizacion_automatica,12630,27,2013-09,2015-12,financieras
